ROI,X_position,Y_position,gene,gene_value,structure,full_gene_name,Order,type
74 | 035 | Geometric Segment,19124,35027,Neuron,0.840448989,Layer II/III,Neuron,A,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Oligodendrocytes,0,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Macrophage,0.0208695,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,SMC,0,Layer II/III,SMC,F,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Tcell,0.077044368,Layer II/III,Tcell,I,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Astrocyte,0.073562036,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Capillary,0.041724189,Layer II/III,Capillary,E,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Ependymal,0,Layer II/III,Ependymal,H,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Microglia,0.039892631,Layer II/III,Microglia,B,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Neuron,0.596416301,Layer II/III,Neuron,A,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Oligodendrocytes,0.043418126,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Macrophage,0.055914487,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,SMC,0,Layer II/III,SMC,F,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Tcell,0.149072229,Layer II/III,Tcell,I,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Astrocyte,0.07418912,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Capillary,0.031343085,Layer II/III,Capillary,E,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Ependymal,0,Layer II/III,Ependymal,H,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Microglia,0.039978204,Layer II/III,Microglia,B,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Neuron,0.607568967,Layer II/III,Neuron,A,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Oligodendrocytes,0.075007318,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Macrophage,0.058342548,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,SMC,0.004454409,Layer II/III,SMC,F,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Tcell,0.10911635,Layer II/III,Tcell,I,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Astrocyte,0.044988788,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Capillary,0.015965144,Layer II/III,Capillary,E,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Ependymal,0,Layer II/III,Ependymal,H,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Microglia,0.052524956,Layer II/III,Microglia,B,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Neuron,0.602656261,Layer II/III,Neuron,A,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Oligodendrocytes,0.128195821,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Macrophage,0.030935555,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,SMC,0,Layer II/III,SMC,F,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Tcell,0.124733474,Layer II/III,Tcell,I,Cortical layer II/III
74 | 004 | Geometric Segment,16990,29671,Astrocyte,0.111340212,Layer IV,Astrocyte,C,Coritcal layer IV
74 | 004 | Geometric Segment,16990,29671,Capillary,0.031168798,Layer IV,Capillary,E,Coritcal layer IV
74 | 004 | Geometric Segment,16990,29671,Ependymal,0,Layer IV,Ependymal,H,Coritcal layer IV
74 | 004 | Geometric Segment,16990,29671,Microglia,0.047796397,Layer IV,Microglia,B,Coritcal layer IV
74 | 004 | Geometric Segment,16990,29671,Neuron,0.424887069,Layer IV,Neuron,A,Coritcal layer IV
74 | 004 | Geometric Segment,16990,29671,Oligodendrocytes,0.181902127,Layer IV,Oligodendrocytes,G,Coritcal layer IV
74 | 004 | Geometric Segment,16990,29671,Macrophage,0.048161876,Layer IV,PeriMacrophage,D,Coritcal layer IV
74 | 004 | Geometric Segment,16990,29671,SMC,0.047890162,Layer IV,SMC,F,Coritcal layer IV
74 | 004 | Geometric Segment,16990,29671,Tcell,0.106853358,Layer IV,Tcell,I,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,Astrocyte,0.07042137,Layer IV,Astrocyte,C,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,Capillary,0.03027773,Layer IV,Capillary,E,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,Ependymal,0,Layer IV,Ependymal,H,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,Microglia,0.052670552,Layer IV,Microglia,B,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,Neuron,0.488896622,Layer IV,Neuron,A,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,Oligodendrocytes,0.213092952,Layer IV,Oligodendrocytes,G,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,Macrophage,0.031817587,Layer IV,PeriMacrophage,D,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,SMC,0.004470473,Layer IV,SMC,F,Coritcal layer IV
74 | 024 | Geometric Segment,15666,27377,Tcell,0.108352714,Layer IV,Tcell,I,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,Astrocyte,0.189225409,Layer IV,Astrocyte,C,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,Capillary,0.033148801,Layer IV,Capillary,E,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,Ependymal,0,Layer IV,Ependymal,H,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,Microglia,0.061605275,Layer IV,Microglia,B,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,Neuron,0.351076334,Layer IV,Neuron,A,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,Oligodendrocytes,0.176919588,Layer IV,Oligodendrocytes,G,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,Macrophage,0.038816869,Layer IV,PeriMacrophage,D,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,SMC,0.017263471,Layer IV,SMC,F,Coritcal layer IV
74 | 029 | Geometric Segment,20435,34059,Tcell,0.131944253,Layer IV,Tcell,I,Coritcal layer IV
74 | 005 | Geometric Segment,18124,29251,Astrocyte,0.061358229,Layer V,Astrocyte,C,Cortical layer V
74 | 005 | Geometric Segment,18124,29251,Capillary,0.021333781,Layer V,Capillary,E,Cortical layer V
74 | 005 | Geometric Segment,18124,29251,Ependymal,0,Layer V,Ependymal,H,Cortical layer V
74 | 005 | Geometric Segment,18124,29251,Microglia,0.055610835,Layer V,Microglia,B,Cortical layer V
74 | 005 | Geometric Segment,18124,29251,Neuron,0.486848686,Layer V,Neuron,A,Cortical layer V
74 | 005 | Geometric Segment,18124,29251,Oligodendrocytes,0.224152229,Layer V,Oligodendrocytes,G,Cortical layer V
74 | 005 | Geometric Segment,18124,29251,Macrophage,0.051015345,Layer V,PeriMacrophage,D,Cortical layer V
74 | 005 | Geometric Segment,18124,29251,SMC,3.03E-06,Layer V,SMC,F,Cortical layer V
74 | 005 | Geometric Segment,18124,29251,Tcell,0.09967786,Layer V,Tcell,I,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,Astrocyte,0.031243564,Layer V,Astrocyte,C,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,Capillary,0.009155722,Layer V,Capillary,E,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,Ependymal,0,Layer V,Ependymal,H,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,Microglia,0.054951708,Layer V,Microglia,B,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,Neuron,0.603226286,Layer V,Neuron,A,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,Oligodendrocytes,0.178542229,Layer V,Oligodendrocytes,G,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,Macrophage,0.02852622,Layer V,PeriMacrophage,D,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,SMC,0,Layer V,SMC,F,Cortical layer V
74 | 025 | Geometric Segment,16694,27034,Tcell,0.094354272,Layer V,Tcell,I,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,Astrocyte,0.043897697,Layer V,Astrocyte,C,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,Capillary,0.024880356,Layer V,Capillary,E,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,Ependymal,0,Layer V,Ependymal,H,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,Microglia,0.056715273,Layer V,Microglia,B,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,Neuron,0.586571333,Layer V,Neuron,A,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,Oligodendrocytes,0.174243351,Layer V,Oligodendrocytes,G,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,Macrophage,0.02540102,Layer V,PeriMacrophage,D,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,SMC,0,Layer V,SMC,F,Cortical layer V
74 | 030 | Geometric Segment,21400,33471,Tcell,0.088290969,Layer V,Tcell,I,Cortical layer V
