"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"49","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","CNTNAP4",-0.676634118945234
"50","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","CNTNAP4",0.945119956980623
"51","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","CNTNAP4",-1.14700741627054
"52","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","CNTNAP4",-0.10094372964496
"53","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","CNTNAP4",-1.14700741627054
"54","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","CNTNAP4",0.945119956980623
"55","Hipp. CA1, 019, Iba1+",16563,16483,"Hippocampus CA1 - Iba1+","Iba1+","CACNA1D",0.789408360029767
"56","Cx. V, 007, Iba1+",15150,24659,"Cortical layer V - Iba1+","Iba1+","CACNA1D",-2.24413863142324
"57","Hipp. CA1, 017, Iba1+",17683,20128,"Hippocampus CA1 - Iba1+","Iba1+","CACNA1D",-0.903661003848099
"58","Cx. V, 009, Iba1+",19978,31299,"Cortical layer V - Iba1+","Iba1+","CACNA1D",-1.3351984127325
"59","Cx. II/III, 008, Iba1+",17781,32538,"Cortical layer II/III - Iba1+","Iba1+","CACNA1D",-1.68779014903522
"60","Cx. V, 033, Iba1+",14266,22500,"Cortical layer V - Iba1+","Iba1+","CACNA1D",0.640573369812348
"61","Hipp. CA1, 021, Iba1+",19727,22092,"Hippocampus CA1 - Iba1+","Iba1+","CACNA1D",-0.735389664844913
"62","Cx. II/III, 032, Iba1+",12988,25768,"Cortical layer II/III - Iba1+","Iba1+","CACNA1D",-0.903661003848099
"63","Cx. II/III, 036, Iba1+",11922,23565,"Cortical layer II/III - Iba1+","Iba1+","CACNA1D",0.436816623727046
"64","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","CACNA1D",1.01341555738633
"65","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","CACNA1D",0.99316510611507
